ticker,yahoo_symbol,sector
ASELS,ASELS.IS,Technology / Defense
TUPRS,TUPRS.IS,Petroleum / Refining
BIMAS,BIMAS.IS,Retail Trade
THYAO,THYAO.IS,Transportation / Airlines
AKBNK,AKBNK.IS,Banking
KCHOL,KCHOL.IS,Holding / Investment
EREGL,EREGL.IS,Basic Metals / Steel
TCELL,TCELL.IS,Telecommunications
CCOLA,CCOLA.IS,Food & Beverage
MGROS,MGROS.IS,Retail Trade
SASA,SASA.IS,Chemicals / Plastics
TRALT,TRALT.IS,Mining
FROTO,FROTO.IS,Automotive
ENKAI,ENKAI.IS,Construction
PGSUS,PGSUS.IS,Transportation / Airlines
MPARK,MPARK.IS,Healthcare
EKGYO,EKGYO.IS,Real Estate Investment Trust
GUBRF,GUBRF.IS,Chemicals / Fertilizer
TURSG,TURSG.IS,Insurance
ENJSA,ENJSA.IS,Electric Utilities
TTKOM,TTKOM.IS,Telecommunications
OYAKC,OYAKC.IS,Cement
AKSEN,AKSEN.IS,Electric Utilities
ISMEN,ISMEN.IS,Brokerage / Capital Markets
ARCLK,ARCLK.IS,Durables / Machinery
ECILC,ECILC.IS,Healthcare / Pharmaceuticals
MAVI,MAVI.IS,Retail / Apparel
PETKM,PETKM.IS,Petrochemicals
TOASO,TOASO.IS,Automotive
KRDMD,KRDMD.IS,Basic Metals / Steel
